g_lo,g_hi,a,b,pearson_level,pearson_ret,abs_level,abs_ret,joint_score,group_a,group_b,cross_group
oxygen_shakes,snackpacks,OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_CHOCOLATE,0.5392513496207816,0.021649934007690105,0.5392513496207816,0.021649934007690105,0.10804978543637996,oxygen_shakes,snackpacks,True
galaxy_sounds,pebbles,GALAXY_SOUNDS_SOLAR_WINDS,PEBBLES_S,-0.5828080537023711,-0.017779707985417472,0.5828080537023711,0.017779707985417472,0.10179468063890992,galaxy_sounds,pebbles,True
galaxy_sounds,microchips,GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_SQUARE,0.5903446937271737,0.017192793073961616,0.5903446937271737,0.017192793073961616,0.10074559127605805,galaxy_sounds,microchips,True
panels,uv_visors,UV_VISOR_AMBER,PANEL_1X4,0.6797267382225141,0.014882164797587912,0.6797267382225141,0.014882164797587912,0.10057735995518252,uv_visors,panels,True
sleep_pods,snackpacks,SLEEP_POD_COTTON,SNACKPACK_PISTACHIO,-0.5805632257408154,0.017247738057327346,0.5805632257408154,0.017247738057327346,0.10006698977832094,sleep_pods,snackpacks,True
pebbles,robots,PEBBLES_XS,ROBOT_LAUNDRY,0.6709621924348723,-0.014365395855732042,0.6709621924348723,0.014365395855732042,0.09817656287809631,pebbles,robots,True
translators,uv_visors,UV_VISOR_MAGENTA,TRANSLATOR_ASTRO_BLACK,-0.713796495551614,0.013480665310994901,0.713796495551614,0.013480665310994901,0.0980940959318774,uv_visors,translators,True
panels,snackpacks,PANEL_1X4,SNACKPACK_CHOCOLATE,0.6731431227242346,0.014169897269862999,0.6731431227242346,0.014169897269862999,0.09766457339750778,panels,snackpacks,True
galaxy_sounds,robots,GALAXY_SOUNDS_SOLAR_WINDS,ROBOT_LAUNDRY,-0.7328525450809075,0.012789397680126111,0.7328525450809075,0.012789397680126111,0.09681292599613067,galaxy_sounds,robots,True
robots,snackpacks,ROBOT_VACUUMING,SNACKPACK_PISTACHIO,0.6831601639798695,0.013236696911169422,0.6831601639798695,0.013236696911169422,0.09509355410534583,robots,snackpacks,True
panels,robots,ROBOT_VACUUMING,PANEL_1X4,0.8011146224505526,0.011084979925450263,0.8011146224505526,0.011084979925450263,0.09423555331109933,robots,panels,True
microchips,sleep_pods,SLEEP_POD_POLYESTER,MICROCHIP_SQUARE,0.8793993760667136,0.009450603871303675,0.8793993760667136,0.009450603871303675,0.09116389168896927,sleep_pods,microchips,True
oxygen_shakes,panels,PANEL_1X4,OXYGEN_SHAKE_MORNING_BREATH,0.8105477188395908,0.010112467471527503,0.8105477188395908,0.010112467471527503,0.09053528285086529,panels,oxygen_shakes,True
robots,sleep_pods,SLEEP_POD_NYLON,ROBOT_IRONING,-0.6368451310905651,0.012619385880388695,0.6368451310905651,0.012619385880388695,0.08964705491692722,sleep_pods,robots,True
pebbles,snackpacks,PEBBLES_XS,SNACKPACK_CHOCOLATE,0.613280700144467,0.013093554564197502,0.613280700144467,0.013093554564197502,0.08961040291456582,pebbles,snackpacks,True
microchips,pebbles,MICROCHIP_SQUARE,PEBBLES_XS,-0.9137680533902138,0.00866037118226703,0.9137680533902138,0.00866037118226703,0.08895825153889238,microchips,pebbles,True
oxygen_shakes,robots,ROBOT_LAUNDRY,OXYGEN_SHAKE_MORNING_BREATH,0.6283248353302358,0.012492062902798449,0.6283248353302358,0.012492062902798449,0.08859499628272345,robots,oxygen_shakes,True
microchips,oxygen_shakes,MICROCHIP_OVAL,OXYGEN_SHAKE_MORNING_BREATH,0.750566079639295,-0.010379320368760244,0.750566079639295,0.010379320368760244,0.08826304888514025,microchips,oxygen_shakes,True
pebbles,uv_visors,PEBBLES_XS,UV_VISOR_MAGENTA,-0.8456362211136017,-0.009048013374363725,0.8456362211136017,0.009048013374363725,0.08747186884068654,pebbles,uv_visors,True
panels,translators,TRANSLATOR_ASTRO_BLACK,PANEL_2X4,-0.609374409628999,0.012454565093157897,0.609374409628999,0.012454565093157897,0.08711769769013086,translators,panels,True
oxygen_shakes,uv_visors,UV_VISOR_AMBER,OXYGEN_SHAKE_GARLIC,-0.8222009772221799,0.00898702330971299,0.8222009772221799,0.00898702330971299,0.08596010323146738,uv_visors,oxygen_shakes,True
galaxy_sounds,sleep_pods,GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_POLYESTER,0.7683136709905268,0.009589052290199001,0.7683136709905268,0.009589052290199001,0.08583355967454054,galaxy_sounds,sleep_pods,True
galaxy_sounds,panels,GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,0.8121814965157859,-0.008770572569754043,0.8121814965157859,0.008770572569754043,0.08439962532501634,galaxy_sounds,panels,True
sleep_pods,translators,SLEEP_POD_POLYESTER,TRANSLATOR_SPACE_GRAY,-0.4372767443780879,0.015136599978385056,0.4372767443780879,0.015136599978385056,0.0813565188506837,sleep_pods,translators,True
panels,pebbles,PEBBLES_M,PANEL_1X4,-0.7998101447914866,0.007915421622707391,0.7998101447914866,0.007915421622707391,0.07956654142378732,pebbles,panels,True
microchips,translators,MICROCHIP_TRIANGLE,TRANSLATOR_SPACE_GRAY,0.6660144933963354,-0.009146888377656232,0.6660144933963354,0.009146888377656232,0.07805101042906198,microchips,translators,True
microchips,snackpacks,MICROCHIP_TRIANGLE,SNACKPACK_CHOCOLATE,0.5987006268928515,-0.00980992382576154,0.5987006268928515,0.00980992382576154,0.07663685499976206,microchips,snackpacks,True
panels,sleep_pods,SLEEP_POD_NYLON,PANEL_1X4,-0.6410399710623732,0.009036591730861968,0.6410399710623732,0.009036591730861968,0.07611055446949679,sleep_pods,panels,True
microchips,uv_visors,MICROCHIP_SQUARE,UV_VISOR_ORANGE,0.6940795654555346,-0.008207052136816172,0.6940795654555346,0.008207052136816172,0.0754741490895544,microchips,uv_visors,True
pebbles,sleep_pods,SLEEP_POD_NYLON,PEBBLES_S,-0.6176079126336496,0.009112668692584917,0.6176079126336496,0.009112668692584917,0.07502037249807135,sleep_pods,pebbles,True
robots,translators,ROBOT_DISHES,TRANSLATOR_ASTRO_BLACK,-0.5458023268047606,-0.009426760431430571,0.5458023268047606,0.009426760431430571,0.0717296854705627,robots,translators,True
oxygen_shakes,pebbles,PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,-0.857645778553517,0.0056726326447063425,0.857645778553517,0.0056726326447063425,0.06975033649393576,pebbles,oxygen_shakes,True
microchips,panels,MICROCHIP_TRIANGLE,PANEL_2X2,0.8010630552645792,0.006009568180237059,0.8010630552645792,0.006009568180237059,0.06938330524904025,microchips,panels,True
oxygen_shakes,translators,TRANSLATOR_GRAPHITE_MIST,OXYGEN_SHAKE_MINT,-0.5549318234982008,0.00844869483512674,0.5549318234982008,0.00844869483512674,0.06847225446147304,translators,oxygen_shakes,True
