k,basket,int_coefs,basket_str,max_abs_coef,combo_var,var_ratio,adf_p,half_life
4,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[4, 2, -2, 1]",4*OXYGEN_SHAKE_EVENING_BREATH + 2*OXYGEN_SHAKE_MINT − 2*OXYGEN_SHAKE_CHOCOLATE + OXYGEN_SHAKE_GARLIC,4,2501760.2785832253,0.4346137851885862,0.08319970018264267,1191.2696955132308
2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT']","[-4, -1]",− 4*OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_MINT,4,2319647.9801699957,0.8237915731404171,0.08389855931708395,1386.2579384667752
2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH']","[-1, -4]",− OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_EVENING_BREATH,4,2312320.526096113,0.7749659015078043,0.09143571823130431,1380.699081908864
3,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-1, -4, 0]",− OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_EVENING_BREATH,4,2312320.526096113,0.7749659015078043,0.09143571823130431,1380.699081908864
3,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[-2, -4, -1]",− 2*OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_GARLIC,4,2025278.0578895167,0.39165811078595486,0.09943478372730641,1144.5736765928593
4,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[-1, -4, -1, -1]",− OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_MINT − OXYGEN_SHAKE_GARLIC,4,1723535.9077341629,0.41522946763932556,0.11656607990343998,1112.2868279140212
2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-4, 1]",− 4*OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_CHOCOLATE,4,2667844.5609192513,0.9289495019374812,0.1671979200327256,1656.7664733130061
2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[-4, -2]",− 4*OXYGEN_SHAKE_MORNING_BREATH − 2*OXYGEN_SHAKE_GARLIC,4,4898394.859163385,0.4685835478774887,0.2310358102521623,2632.2147534223955
3,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[4, 2, 1]",4*OXYGEN_SHAKE_EVENING_BREATH + 2*OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_GARLIC,4,2470887.0336537324,0.5491800921810795,0.23818504492476783,1555.3887507676384
2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[-4, -1]",− 4*OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_GARLIC,4,3052423.7801192813,0.8805556609635319,0.4133116031594588,2230.7579187242345
2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT']","[1, -4]",OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_MINT,4,3918029.2907834356,0.8597527140788068,0.4187755837001569,3448.9571814833985
2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[-4, -1]",− 4*OXYGEN_SHAKE_MINT − OXYGEN_SHAKE_GARLIC,4,3795963.8712507933,0.7531880192677696,0.5232716744006637,3711.8384622854346
3,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[0, 4, 1]",4*OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_GARLIC,4,3795963.8712507933,0.7531880192677696,0.5232716744006637,3711.8384622854346
2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[-4, -2]",− 4*OXYGEN_SHAKE_MINT − 2*OXYGEN_SHAKE_CHOCOLATE,4,4263141.717642843,0.791218282974491,0.525933392625675,3477.1714728230745
2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-2, -4]",− 2*OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_CHOCOLATE,4,4701782.849706874,0.6983419763696476,0.5498132737815575,3338.321370606489
3,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[0, 4, 3]",4*OXYGEN_SHAKE_MINT + 3*OXYGEN_SHAKE_CHOCOLATE,4,5271994.552184732,0.7575367452656621,0.5911946731946474,3601.3127364520174
