target,k,basket,ols_beta,int_coefs,int_basket_str,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,max_abs_coef,int_adf_p,int_half_life
OXYGEN_SHAKE_MORNING_BREATH,1,['OXYGEN_SHAKE_MINT'],[0.3094293361995573],[1],OXYGEN_SHAKE_MORNING_BREATH − OXYGEN_SHAKE_MINT,0.9705613741291448,1.1094705031144345,1.1431224574642984,1,0.5325911928431809,4049.98356039442
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_MORNING_BREATH'],[0.18747614483176836],[1],OXYGEN_SHAKE_MINT − OXYGEN_SHAKE_MORNING_BREATH,0.9705613741291448,1.425356485140364,1.4685897493286222,1,0.5325911928431809,4049.98356039442
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_CHOCOLATE'],[0.08116174375646867],[1],OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_CHOCOLATE,0.993503759941807,1.626912718946112,1.6375506410176102,1,0.5364487806620798,2850.11373416655
OXYGEN_SHAKE_CHOCOLATE,1,['OXYGEN_SHAKE_EVENING_BREATH'],[0.159561369459368],[1],OXYGEN_SHAKE_CHOCOLATE − OXYGEN_SHAKE_EVENING_BREATH,0.993503759941807,1.1603154138106857,1.167902388088244,1,0.53644878066208,2850.11373416655
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_CHOCOLATE'],[-0.22372357554618416],[-1],OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_CHOCOLATE,0.9690599048470363,1.293274828187371,1.3345664408553888,1,0.6334217558288836,3800.668639493529
OXYGEN_SHAKE_CHOCOLATE,1,['OXYGEN_SHAKE_MINT'],[-0.27231328065949134],[-1],OXYGEN_SHAKE_CHOCOLATE + OXYGEN_SHAKE_MINT,0.9690599048470363,1.172228535976121,1.20965538880814,1,0.6334217558288836,3800.668639493529
OXYGEN_SHAKE_GARLIC,1,['OXYGEN_SHAKE_MINT'],[-0.6022236429897988],[-1],OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MINT,0.9470850512789779,0.9705254626181529,1.0247500594666976,1,0.7379147625967284,6832.020440271472
OXYGEN_SHAKE_MINT,1,['OXYGEN_SHAKE_GARLIC'],[-0.17108246553123302],[-1],OXYGEN_SHAKE_MINT + OXYGEN_SHAKE_GARLIC,0.9470850512789779,1.8208873744045204,1.9226228646999846,1,0.7379147625967284,6832.020440271472
OXYGEN_SHAKE_EVENING_BREATH,1,['OXYGEN_SHAKE_GARLIC'],[-0.05694743693950887],[-1],OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_GARLIC,0.9907379764759261,2.457231154087761,2.480202851240425,1,0.8284025835306882,8039.878417648209
OXYGEN_SHAKE_GARLIC,1,['OXYGEN_SHAKE_EVENING_BREATH'],[-0.3237768538726873],[-1],OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_EVENING_BREATH,0.9907379764759261,1.0305289691410389,1.040162983159937,1,0.8284025835306882,8039.878417648209
